0.015   	0       
0.045   	0       
0.075   	0       
0.105   	0       
0.135   	0       
0.165   	0       
0.195   	0       
0.225   	0       
0.255   	0       
0.285   	0       
0.315   	0       
0.345   	0       
0.375   	0       
0.405   	0       
0.435   	0       
0.465   	0       
0.495   	0       
0.525   	0       
0.555   	0       
0.585   	0       
0.615   	0       
0.645   	0       
0.675   	0       
0.705   	0       
0.735   	0       
0.765   	0       
0.795   	0       
0.825   	0       
0.855   	2.19979e-07
0.885   	0.000937283
0.915   	0.0321139
0.945   	0.270366
0.975   	0.940626
1.005   	1.85285 
1.035   	2.55185 
1.065   	2.81962 
1.095   	2.73015 
1.125   	2.45965 
1.155   	2.12926 
1.185   	1.82344 
1.215   	1.53447 
1.245   	1.30429 
1.275   	1.12416 
1.305   	0.9796  
1.335   	0.86705 
1.365   	0.782418
1.395   	0.717437
1.425   	0.669512
1.455   	0.636011
1.485   	0.616123
1.515   	0.60399 
1.545   	0.601353
1.575   	0.608991
1.605   	0.628597
1.635   	0.656255
1.665   	0.693286
1.695   	0.737426
1.725   	0.786034
1.755   	0.842181
1.785   	0.905848
1.815   	0.966643
1.845   	1.02618 
1.875   	1.08261 
1.905   	1.13345 
1.935   	1.17753 
1.965   	1.21484 
1.995   	1.24582 
2.025   	1.26582 
2.055   	1.27635 
2.085   	1.25923 
2.115   	1.23534 
2.145   	1.20218 
2.175   	1.15988 
2.205   	1.11397 
2.235   	1.06755 
2.265   	1.02416 
2.295   	0.98201 
2.325   	0.94565 
2.355   	0.915802
2.385   	0.88887 
2.415   	0.866509
2.445   	0.854514
2.475   	0.846772
2.505   	0.846358
2.535   	0.851314
2.565   	0.864711
2.595   	0.879817
2.625   	0.899965
2.655   	0.924997
2.685   	0.944625
2.715   	0.968517
2.745   	0.992319
2.775   	1.01454 
2.805   	1.03634 
2.835   	1.05367 
2.865   	1.07043 
2.895   	1.08096 
2.925   	1.0871  
2.955   	1.08777 
2.985   	1.08619 
