mardyn trunk 20160512
currentTime	   2.000000000000000e-02
 Length	82.86 82.86 82.86
 Temperature	0.95
 NumberOfComponents	1
1	0	0	0	0
0 0 0	1 1 0
0 0 0
1e+10
 NumberOfMolecules	6654
 MoleculeFormat	ICRVQD
109	1	4.4778427044890865005 1.6011199644545692777 2.6795199194769745432	-0.26373764868750337875 -0.096999450869376363515 -1.6645432938005202406	1 0 0 0	0 0 0	
2	1	1.3530863098344894091 0.049574093334178545578 4.374274209913528999	0.88267280448562368544 0.036535005493913599861 1.4377099656057052979	1 0 0 0	0 0 0	
517	1	12.376045229422746985 4.7197306749571739104 4.2689004407943347275	-0.17122510243823427234 0.035227446523952890556 1.679064862156380844	1 0 0 0	0 0 0	
666	1	15.704969716450364103 4.8978849739045653422 1.2293166791151191042	-1.3756060109307752803 0.63835550426624931841 0.74153156091414640372	1 0 0 0	0 0 0	
801	1	18.857953095174906366 1.6294822058632851824 1.1415644041377339679	1.2576301757830445904 0.89462940721527983712 0.68415806495688447075	1 0 0 0	0 0 0	
1002	1	22.076872087002474387 1.6316192531757738315 1.1451260801860989602	0.9331537808289330771 -0.92262908141695487707 -1.0618429621209486413	1 0 0 0	0 0 0	
1581	1	29.947790155518859478 3.1697604941252870425 1.1173120486840009136	0.19618002257501618302 0.39372750866015182591 1.6298036236930000253	1 0 0 0	0 0 0	
2369	1	36.427004339939585975 0.090555163985323303133 1.1936686544882593175	-1.061981248721697968 -0.74696110605028442908 -1.0788886865661218017	1 0 0 0	0 0 0	
523	1	12.352459188808076362 7.8584739492147157591 4.1616148782124193772	0.92708287989421367392 -0.096270601149294629528 -1.4074942266765280152	1 0 0 0	0 0 0	
681	1	17.168625025040974208 9.5090132995133895832 1.0221227069190226278	0.069633561602446075733 0.11001745308841687221 -1.6830266186525453254	1 0 0 0	0 0 0	
809	1	18.764258496071416715 7.9216209532621091327 1.1003167828314961429	-1.0975184968285791598 -0.85999658105321519219 0.95193593641408436046	1 0 0 0	0 0 0	
815	1	20.423687038270198713 9.5362683376983756744 4.3071905476664671397	1.147243510036952685 -0.85539081970336516836 0.89535960593599861479	1 0 0 0	0 0 0	
1013	1	21.924338374757976311 7.8686499913937169026 4.209364336915774274	1.395387934404121788 0.32543379859561610834 0.89273907526248008626	1 0 0 0	0 0 0	
1014	1	23.492220964990732313 6.2538219150099871868 4.1555403397853032388	0.34424140348035509041 -0.51396507064949026322 -1.5700262648352292238	1 0 0 0	0 0 0	
2378	1	34.677271729726271587 7.9127083640373943041 4.2078226384880155209	-0.68867251256980288598 0.18216980836958990286 -1.5304733132998133982	1 0 0 0	0 0 0	
2384	1	36.261564741536446377 9.4831372682431158694 1.0005501539617132067	-0.264230774957229686 -0.086581784121288030143 -1.6650359061916903958	1 0 0 0	0 0 0	
2799	1	39.633640348905061046 6.4726186293433540797 1.2444149947663172284	0.14328757766195177048 -0.11642949325115127535 1.6780123570543514777	1 0 0 0	0 0 0	
2805	1	39.410848679293110308 9.4284401577145278139 4.1748463913478346399	-0.65548224261956156145 -1.3307697120391954737 -0.80565335369587842695	1 0 0 0	0 0 0	
126	1	2.8063770535228296232 11.076355139198396316 1.0471605802855303846	-1.0346696149020810918 -1.2444236629509619618 -0.48033645034762817438	1 0 0 0	0 0 0	
135	1	4.4091854892712225578 12.728147754418156268 4.2418543913085509089	-0.75921115175012809928 1.4796307142921880651 -0.28304409755410631089	1 0 0 0	0 0 0	
399	1	9.2532914258137832775 11.200716861774640876 1.137626062784756753	-1.3724922520470537179 0.98286179795572647944 0.051742537204986262245	1 0 0 0	0 0 0	
405	1	10.921628888103063204 12.849703536274429183 4.4148815506643117601	-1.5510038118868298973 -0.1636605969524187465 0.64605706252037253812	1 0 0 0	0 0 0	
686	1	15.7329805331790471 14.444754955951623288 4.4356654626628113647	-0.0018510998154435019322 -0.083330803926265184511 1.6860665367451705965	1 0 0 0	0 0 0	
814	1	18.779353449623222616 11.082640783840824739 4.2571248745715992712	0.13234969926760623005 -1.6822458352279117122 -0.079765281297764917268	1 0 0 0	0 0 0	
1975	1	31.667882108433101251 14.445347553846831445 1.1805223344023765275	0.050009331370832008079 -0.016141889411756121797 -1.687273884508980748	1 0 0 0	0 0 0	
2806	1	39.473389318836098028 11.145147957275611361 2.6662380203163751347	-1.0040483639007116157 1.3553707034085402672 -0.038179060007964907286	1 0 0 0	0 0 0	
143	1	4.4004232715967201983 15.849974203420510221 0.99293380723801860643	0.61401069653344186872 0.036755778841626743358 -1.5720596196697775859	1 0 0 0	0 0 0	
272	1	7.7514570492717931316 17.653227745697211759 2.8357621313091896376	-0.89646271883539419001 0.8111836752379929516 1.1810287003147399432	1 0 0 0	0 0 0	
276	1	7.673271969133947934 19.147431590007808921 4.330863857087217994	-1.442222656631957145 -0.78995104301408369807 -0.37611797783334433021	1 0 0 0	0 0 0	
416	1	9.1824870925890262896 20.643361176740402385 4.2589860082206918435	0.00095108698850576104539 -0.010162276459124208738 1.688189485808562873	1 0 0 0	0 0 0	
539	1	12.512081765727943505 17.639177553674766585 1.2234851136633684288	-1.2957378589127139801 0.69650225403106225119 0.82808622556304700701	1 0 0 0	0 0 0	
547	1	14.029143325605408776 20.676052000894085126 2.6997621737200780956	0.0042935660461926169681 -1.6858136117474968874 0.088957627988548643172	1 0 0 0	0 0 0	
1285	1	25.21958027318586204 17.557216393543072286 4.2872760876126054796	0.99210051757918260584 0.89602918420958510559 -1.0308651012664651336	1 0 0 0	0 0 0	
1983	1	33.189653053865015409 15.947085368776104275 4.3558725285097876778	-0.26179933665641158536 -1.3295792899065754789 1.0067026135156240674	1 0 0 0	0 0 0	
3237	1	41.07390553135788025 20.67692192074719415 4.2134268652890378704	0.21616327356887105049 0.77379257528278266864 -1.4846891780259479088	1 0 0 0	0 0 0	
33	1	1.3148836717353056258 25.489481001594455734 4.2790278059077220263	1.3638060465362458196 -0.34570365196566016364 -0.93288909434518640929	1 0 0 0	0 0 0	
1299	1	26.790097700133404857 22.304744451812101858 4.2592011373097182769	0.82844985532224846292 0.23626483763460506826 -1.4505347949253926121	1 0 0 0	0 0 0	
2423	1	36.322415293137723324 23.879430020604107909 2.6466073715770641606	0.13065474890110190254 0.02275037405186993919 -1.6829130357106392157	1 0 0 0	0 0 0	
2820	1	37.934655555330593302 20.757390931563303837 4.3063242233217664534	-0.63480663066276488138 1.5624131879718117233 -0.07469313522266461669	1 0 0 0	0 0 0	
2839	1	39.61940552369006241 22.416155562556156156 1.2394302491056994331	-0.4332081863957448209 0.464843362710157193 1.564052573063312801	1 0 0 0	0 0 0	
289	1	7.7023042096519667155 30.299505523554429942 2.6985318328347216443	0.89719882266429862305 -0.0090578875551843331115 -1.4299370725381350677	1 0 0 0	0 0 0	
845	1	18.732581595479317116 27.023646235297235307 1.0018635258630175233	-0.27533590899521120932 0.56867151678670491144 -1.5662515441001709782	1 0 0 0	0 0 0	
854	1	18.735109329441083759 30.171172239951250305 4.169939855536133777	1.3505381176497759377 0.098926173634801550794 -1.007998041918136467	1 0 0 0	0 0 0	
1046	1	23.585002981153294854 30.241243264796477064 2.7105135502506558787	0.58136488716875400762 -0.64224007215058642739 1.4489704898029795999	1 0 0 0	0 0 0	
1320	1	26.764579241111025709 28.667806697717853837 4.3194906779556045961	-0.38560914089970438345 -0.24006589530651473163 1.624627471486895125	1 0 0 0	0 0 0	
1321	1	26.796914467176176089 30.309189964881745993 2.7084721162653710991	-0.92711040793806442917 -0.0027819647701665204537 -1.410978850531540818	1 0 0 0	0 0 0	
1635	1	28.475199893932856554 27.189672044345090995 1.2134202626015877513	0.88819207740182193334 0.94165794331176388976 1.0837359748345365418	1 0 0 0	0 0 0	
1654	1	29.891862757417481333 30.238598319278914062 2.6240758702684896519	-0.76374060962207968029 1.2297746232639072961 -0.86849657807312574676	1 0 0 0	0 0 0	
2045	1	33.143119385596548909 28.707089661129057134 1.0929463227236413392	-0.82928256512241393938 1.0451378615683459827 -1.0341174490839022404	1 0 0 0	0 0 0	
2046	1	33.116938648498006614 28.678401217106276988 4.2818101371382679687	-0.33815892415266396442 1.4108825665896076451 0.86287240560918876398	1 0 0 0	0 0 0	
2444	1	36.417962142450676311 27.16577535283412459 2.7720916136096644955	-0.88223491946417509357 -0.79640317198488075334 -1.1989253394385754881	1 0 0 0	0 0 0	
715	1	15.624407962695746832 33.435755138997443225 1.0663473971662145168	0.53889458757961872237 -0.64154864801911926087 -1.4645206752876203105	1 0 0 0	0 0 0	
716	1	17.159191494533807543 33.394982292210087849 2.6348092923925539033	1.164234017946216504 0.8809588296881650793 0.84450033765250220874	1 0 0 0	0 0 0	
720	1	17.291505460043065767 35.166974896581365329 1.1815598241608120667	-0.9649785303421120064 1.0607968416979298709 -0.88849679284990601413	1 0 0 0	0 0 0	
1067	1	22.038983613124830896 33.498290965848525502 4.3689857643821818911	-0.066421019369867398408 -0.15588007783629431735 1.6797273371929926089	1 0 0 0	0 0 0	
1345	1	26.713502786368483299 31.771498740810212524 1.0106814107784509726	0.32534311662926407305 -1.1379064265543743506 -1.2037644473172943727	1 0 0 0	0 0 0	
2503	1	36.282919926645959663 33.370841840794263078 2.6484109656228840279	-0.076310537727320632007 -1.677282359091623265 0.1750308580655463575	1 0 0 0	0 0 0	
56	1	1.2552080695774681107 39.808320468653207058 2.7072415659828279466	-0.086381708360645848011 0.07215722405616317725 1.6843839454895348506	1 0 0 0	0 0 0	
308	1	6.0278794632622050287 39.835368959507462705 1.1145951441597983234	-1.3020339146956951826 0.59450656922099043289 0.89519187668795174861	1 0 0 0	0 0 0	
309	1	5.9734592038902558642 39.751239441153060739 4.2367491699107828751	-1.3586919382388951139 -0.94870565055623456985 0.32037592210848531149	1 0 0 0	0 0 0	
310	1	7.5776346871615514189 38.170313103109862141 4.2265412478285808717	-1.3149078581468036653 -0.81158360339887036794 -0.68069354353652833378	1 0 0 0	0 0 0	
2596	1	36.27654070304168954 41.357862935572931917 1.0801033177986743006	-0.77019951724792512504 -1.0665943571988762972 1.0577163127601267867	1 0 0 0	0 0 0	
1440	1	25.080194165487316837 46.116812626874583714 1.0472928515313510989	-1.200070231732729642 -0.46297285799936721551 1.0930943132855228672	1 0 0 0	0 0 0	
1441	1	26.742619849098691276 46.148246578729327894 2.6211053302737985504	1.5241251491576981447 0.38581546450451970065 -0.61318461455262929238	1 0 0 0	0 0 0	
2597	1	34.77697557570115805 43.083110167742781016 4.3518764983128139789	-0.32009623873433801222 1.2779452609585124634 1.0555568063175813087	1 0 0 0	0 0 0	
3054	1	39.598012738600232296 44.719989116221107395 1.1769019587870834798	-1.0656717259104768747 0.67229707441134212154 -1.1245603795176004613	1 0 0 0	0 0 0	
3056	1	39.455762899780125963 46.15547894728958056 2.6552554928363103492	0.055507439760822736841 1.0044567004422815248 1.351677894285119752	1 0 0 0	0 0 0	
2214	1	31.682471002288835393 49.488685916689817645 4.4026737787275207481	1.4924450658111474421 0.056106824219910075846 0.78706474577282470317	1 0 0 0	0 0 0	
2655	1	34.791552914828486109 49.435306186669990325 1.1866506538612746624	-0.068603472338419624332 -0.28186739302546526265 1.6630712084639851511	1 0 0 0	0 0 0	
2680	1	36.335439131402793578 50.977917191574697142 4.2479492247995560561	0.45445551708166903593 0.17860222334783709686 -1.6155767792088020496	1 0 0 0	0 0 0	
3663	1	41.161362120853638658 49.413864745329767914 1.1163993035803585485	0.1710750199299580776 -0.91359959688445668835 -1.4092412961232629875	1 0 0 0	0 0 0	
466	1	9.2736985422874553819 52.597573071325562921 4.3073580564143307825	-0.69628062623126896202 -1.0188933170856191435 -1.1518756452279705904	1 0 0 0	0 0 0	
748	1	15.652165573025332179 55.77073983892451281 4.3308754118102976705	0.89839026947937272727 -0.34313151751244019838 1.3875196341934061817	1 0 0 0	0 0 0	
950	1	18.789339552570460512 55.732375236863610724 4.2254019106195030986	0.84488271519547708532 0.17211197662857646851 -1.4534954981829439902	1 0 0 0	0 0 0	
951	1	20.470122053606051082 55.816931061774745615 2.776405441155160414	0.87914834069259706339 0.069707637234570352103 1.4409578189141649673	1 0 0 0	0 0 0	
1209	1	23.640613975740013331 55.776572448268467497 2.7193517270506402106	1.6387376345310116221 -0.36791889460106624865 0.16796210871056793668	1 0 0 0	0 0 0	
1196	1	21.971892205497905337 52.552370394690562705 4.2302870451844487576	0.15366414346912160571 0.045881295724023545002 -1.6805182791495989481	1 0 0 0	0 0 0	
1862	1	28.286040797577488348 55.644507308163071002 4.1725673193519998705	0.72141548847716441273 -1.1407811547806998576 -1.0138704665987048337	1 0 0 0	0 0 0	
2242	1	33.198345621238189551 52.621902149340264998 2.7578736546934443652	-1.0275889753534710458 -1.2704765997394584787 -0.42048410392176660544	1 0 0 0	0 0 0	
2679	1	34.865387106087268876 52.663694422260071804 4.3693793522810606689	1.5357872858444725495 -0.296123956331019067 -0.63346944121653481208	1 0 0 0	0 0 0	
3141	1	39.482714982355901157 55.767674930278317902 2.6712325788726181131	-1.3426074733980508658 0.83068936474146537474 -0.59381289783390411863	1 0 0 0	0 0 0	
3276	1	41.107850370581004995 52.570460188556374703 1.0951940607425207919	0.93738502076551988296 1.011835799160470506 0.97309662959905285362	1 0 0 0	0 0 0	
3280	1	41.066283099855382943 55.75204693669070366 4.2728564813528908672	-1.6757417390429341086 0.21200334380659466293 -0.024170699102421717291	1 0 0 0	0 0 0	
202	1	4.4623972095347976818 58.955228205258926266 2.7356808199069360121	-0.62612606121964997641 -0.21246909705235747512 1.5532541241104822483	1 0 0 0	0 0 0	
958	1	18.745100330082841822 58.879158553858538028 1.0708918796247859362	-0.82297388909141599989 -1.2902792244525409515 0.71260199910264954148	1 0 0 0	0 0 0	
959	1	20.510203279023269118 57.448471262946043225 4.3514752742497435634	1.1433853737041850263 0.2322349247799437022 -1.2202421949401534018	1 0 0 0	0 0 0	
1221	1	23.501680542924678008 58.903531126454176103 2.6393832577970979258	-1.6540642314737326046 0.28736430880962882117 -0.17675851884736823449	1 0 0 0	0 0 0	
2292	1	33.087027723379662802 57.307174505096313055 1.008334894664986825	0.069041694969135647408 0.63694699092085926839 -1.5618200698342921129	1 0 0 0	0 0 0	
2293	1	31.578297690989497681 58.945444118591659333 4.2779320724479674709	1.6695583608043726986 0.24135134436957225712 -0.064177446433463097852	1 0 0 0	0 0 0	
3192	1	39.572850404933618051 60.608525723758347681 4.3860648640215629257	-0.89011935260873475961 -0.19965803087043909603 1.4204019233165858793	1 0 0 0	0 0 0	
341	1	6.1210882496459202429 62.199190609349450654 4.3868562036944158677	-0.12438766634223949459 -0.12015754216480779848 1.6792195155381135496	1 0 0 0	0 0 0	
347	1	6.0791496897943160249 65.345731041581260001 4.3428061885903090911	-0.010688309760348081376 0.071192857004712367663 1.6865437408109498207	1 0 0 0	0 0 0	
352	1	7.6019251408930310632 66.887448350833494715 4.2541158572665969118	0.2592288576507711384 1.288801289339180034 1.0572703193755084161	1 0 0 0	0 0 0	
636	1	14.079967772565458617 66.981059497649582113 4.3090298770705128817	0.69282960235284596351 1.192555505133270799 -0.97337589100170041068	1 0 0 0	0 0 0	
769	1	15.601136274341719457 65.270830360680818671 1.0826113149016931558	0.036111018798129224106 -1.6888953647026669902 0.0092038472371950685175	1 0 0 0	0 0 0	
770	1	17.129023051051451176 63.606369269688507018 1.0201853798250171135	0.56906338069119655199 -1.4249620072975408558 0.70067420675910641048	1 0 0 0	0 0 0	
1917	1	29.864428632476588632 65.262586915377170271 2.5883209858575542128	-0.37736886946471392967 1.3801014113682064099 -0.89880592352012722568	1 0 0 0	0 0 0	
1921	1	29.924445547019381308 66.884394313540738608 1.0260522811116421504	0.48869303226815818952 0.66274120818257398202 -1.4721424807606566798	1 0 0 0	0 0 0	
2331	1	33.082303652709143194 63.667689491942731195 4.1914816885858465767	-0.1012230088859525784 0.036354015992266106028 -1.6846637205154053607	1 0 0 0	0 0 0	
3207	1	39.506472570656512744 65.311533956629588715 2.649564878878588825	-0.15818802503552212291 -0.01767493872611642855 -1.6806155950387022813	1 0 0 0	0 0 0	
3750	1	41.14739416112688275 62.167798078879357604 1.0981858232669472475	0.10733839870983458153 0.034266375092264517166 -1.6843874569784231809	1 0 0 0	0 0 0	
91	1	1.3527621739078008467 70.130927982422619493 1.148391816156309142	1.2660202162822231653 -1.1111870212917991374 -0.11025941729267736691	1 0 0 0	0 0 0	
353	1	7.6964969161433538503 68.528333120893478281 2.7481240401587707645	0.91499175401807542052 -0.41393834490339942445 1.3583505516778362487	1 0 0 0	0 0 0	
490	1	9.3019769743729536771 71.755340799036176236 1.1510134245894876326	-0.86986242114018186289 -0.79385593204774462794 -1.2099648459322835947	1 0 0 0	0 0 0	
1550	1	26.697526029862853392 68.450994481668189451 2.6070310276908652547	0.70197891884943375285 1.5315615646958999907 0.11444952046273162982	1 0 0 0	0 0 0	
1552	1	26.75004502921786198 71.719293141013466197 2.7026271673375052984	-1.4982487295771929059 0.7745923732490308522 0.069140267824678858233	1 0 0 0	0 0 0	
1920	1	28.362957450740974963 68.47274530848343943 1.0797566563943596929	1.5442893258440903992 -0.13709286585401964098 0.66928831149328427141	1 0 0 0	0 0 0	
2347	1	31.569330757061802473 71.727726362614163236 4.3464824412003846277	-0.5610500534034487119 0.18851418032294303684 1.5809658584325136932	1 0 0 0	0 0 0	
227	1	2.8518753726682812832 74.865805179339957931 4.3035314822527821477	-0.064991644890760230657 -0.00023637628039010406713 1.6868713241689243798	1 0 0 0	0 0 0	
363	1	7.5886794280177243266 73.222532260871588505 1.0019655264044233789	0.12259368675549583982 -0.12527331326953977664 -1.6791164515857153194	1 0 0 0	0 0 0	
657	1	13.968011658647800033 76.394825607895526787 1.0420371763051308189	1.2289876153961754035 -0.023550474020450844204 1.1570663855251914764	1 0 0 0	0 0 0	
987	1	20.458263508155638988 73.35464863245574918 4.3319021539393398612	-0.71570010599875921731 -0.45125695225529371957 -1.4607962848197506567	1 0 0 0	0 0 0	
993	1	20.533733728234015103 76.59051124559955781 1.1926714245477429976	1.5023483572386628904 0.44028650823871856579 -0.63161383754480981967	1 0 0 0	0 0 0	
1559	1	26.714591507860841801 76.422054180523275591 4.2100974308643692723	-0.57424241752757965163 -0.40975905749531660316 -1.5336368524671699642	1 0 0 0	0 0 0	
105	1	1.2359962735564120617 81.21443016069808607 2.6440648403483275608	-0.79006475993055025331 -0.86433153320841926703 -1.2172684266989766133	1 0 0 0	0 0 0	
502	1	10.921039526267334097 81.376094920730608351 2.775847094712234675	-1.0425312674850744088 0.75154234493285565488 -1.0945652222479627103	1 0 0 0	0 0 0	
2783	1	36.263742934870421664 79.605242800523313917 4.2597570764548171596	-0.48980454549260304953 0.069347530694397460649 1.6150689290968911482	1 0 0 0	0 0 0	
