mardyn trunk 20160512
currentTime	   0.000000000000000e+00
 Length	82.86 82.86 82.86
 Temperature	0.95
 NumberOfComponents	1
1	0	0	0	0
0 0 0	1 1 0
0 0 0
1e+10
 NumberOfMolecules	6654
 MoleculeFormat	ICRVQD
1	1	0.0040062034538159013719 1.5974677419153544555 1.5974677419153544555	-1.3270515224432981594 0.98667505241834452256 0.33971546581835360135	1 0 0 0	0 0 0	
2	1	1.6422976650416851729 0.048836126580146653475 4.8292207419647619204	0.88271926468491190843 0.037281118418294477423 1.4385467729495655664	1 0 0 0	0 0 0	
109	1	4.7899827682215434521 1.6030596912984662605 3.1965212297600049673	-0.26372143396345693045 -0.096971519758817320556 -1.6646463677381821977	1 0 0 0	0 0 0	
517	1	12.686335111601650283 4.7190274192939583031 4.7190274192939583031	-0.17121713198808299894 0.035097506620309262826 1.6791226455333192469	1 0 0 0	0 0 0	
666	1	16.039348320550644189 4.8851175513198743516 1.6981944743967973821	-1.3756885841267438852 0.63837637933507940247 0.74159053244387440618	1 0 0 0	0 0 0	
801	1	19.139666402854828675 1.6115894797779046765 1.6115894797779046765	1.2575614495319709096 0.89462777629383682942 0.68423705141901802751	1 0 0 0	0 0 0	
1002	1	22.365072456717033589 1.6500724567170328427 1.6500724567170328427	0.93333639558374759115 -0.92267568960354473528 -1.0618628652012278568	1 0 0 0	0 0 0	
1581	1	30.250731871976302756 3.1618857181301485149 1.5684241796686100301	0.19618801467561969298 0.39374354856991578 1.6298700196203403934	1 0 0 0	0 0 0	
2369	1	36.755110085466277781 0.10549470085089024396 1.6989562393124286732	-1.0620327066052057674 -0.74698007358337814576 -1.0789380426003112312	1 0 0 0	0 0 0	
523	1	12.640782444498443127 7.8603978291138281165 4.6734747521907520351	0.92711890154815956855 -0.096115860235845021475 -1.4075554283236084707	1 0 0 0	0 0 0	
681	1	17.474109218315664549 9.5068015260079725692 1.5394938337002810336	0.068487060554156334313 0.11115422491948888373 -1.6831382179783092035	1 0 0 0	0 0 0	
809	1	19.093063520387733689 7.9388327511569638517 1.5649865973108090245	-1.0964213575813916979 -0.86116538975553047486 0.9519739377349483167	1 0 0 0	0 0 0	
815	1	20.70760607748558968 9.5533753082548198421 4.7729906928702039437	1.1473864035006726692 -0.85530367444693311541 0.89552223062264968423	1 0 0 0	0 0 0	
1013	1	22.203295532310551863 7.8621416861567068324 4.6752186092336298628	1.3954052359368991354 0.32539519285832796403 0.89272739175213944307	1 0 0 0	0 0 0	
1014	1	23.79218991478184364 6.2641129917049207521 4.6706514532433818232	0.34540210691035894142 -0.51513031802768627365 -1.5701395288287531837	1 0 0 0	0 0 0	
2378	1	34.997911174766834108 7.9090650209206803112 4.7221419439976033416	-0.68871760482343380438 0.18216145260127422634 -1.5305179731033757839	1 0 0 0	0 0 0	
